faculty,partner_uni,partner_uni_module_1,partner_uni_module_1_title,partner_uni_module_1_credits,partner_uni_module_2,partner_uni_module_2_title,partner_uni_module_2_credits,nus_module_1,nus_module_1_title,nus_module_1_credits,nus_module_2,nus_module_2_title,nus_module_2_credits
NUS Business School,The University of Adelaide,FIN3008,CORPORATE FINANCE THEORY III,3,,,,FIN3101,Corporate Finance,4,,,
NUS Business School,The University of Adelaide,MKT3501,INTERNATIONAL MARKETING,3,,,,MKT2412,Global Marketing,4,,,
NUS Business School,The University of Adelaide,MKT2501,CONSUMER BEHAVIOR II,3,,,,MKT3402,Consumer Behaviour,4,,,
NUS Business School,The University of Adelaide,CLAW1004,COMMERCIAL LAW I (S),3,,,,BSP1004,Legal Environment Of Business,4,,,
NUS Business School,The University of Adelaide,ECOM2500,INTERNET COMMERCE II,3,,,,DSC3211,Internet For E-Business,4,,,
NUS Business School,The University of Adelaide,CMGMT3001,INTERNATIONAL MANAGEMENT III,3,,,,MNO3313,Topics in Leadership and Human,4,,,
NUS Business School,The University of Melbourne,ECON10003,INTRODUCTORY MACROECONOMICS,12.5,,,,BSP2001,Macro & Int'l Economics,4,,,
NUS Business School,The University of Melbourne,ACCT30007,SPECIAL TOPICS IN ACCOUNTING,12.5,,,,FIN3120Z,Topic in Finance,4,,,
NUS Business School,The University of Melbourne,MGMT20002,MANAGING OPERATIONS,12.5,,,,DSC2006,Operations Management,4,,,
NUS Business School,The University of Melbourne,FNCE30001,INVESTMENTS,12.5,,,,FIN3102,Investmt Anlys & Portfolio Mgt,4,,,
NUS Business School,The University of Melbourne,ACCT10001,ACCOUNTING REPORTS AND ANALYSIS,12.5,,,,ACC1002,Financial Accounting,4,,,
NUS Business School,The University of Melbourne,BLAW10001,PRINCIPLES OF BUSINESS LAW,12.5,,,,BSP1004,Legal Environment Of Business,4,,,
NUS Business School,The University of Melbourne,MKTG20009,GLOBAL MARKETING,12.5,,,,MKT2412,Global Marketing,4,,,
NUS Business School,The University of Melbourne,FNCE30003,INTERNATIONAL FINANCE,12.5,,,,FIN3115,International Financial Mgmt,4,,,
NUS Business School,The University of Melbourne,LAWS70206,BANKING AND FINANCE LAW,12.5,,,,FIN3120,Topics in Finance (TIF),4,,,
NUS Business School,The University of Melbourne,FNCE30002,CORPORATE FINANCE,12.5,,,,FIN3101,Corporate Finance,4,,,
NUS Business School,The University of Melbourne,MGMT30004,INTERNATIONAL HUMAN RESOURCE MANAGEMENT,12.5,,,,MNO3313Y,TOPICS IN M & O: SEL TOPICS 3,4,,,
NUS Business School,The University of Melbourne,MGMT30013,STRATEGIC MANAGEMENT,12.5,,,,BSP3001,Strategic Management,4,,,
NUS Business School,The University of Melbourne,MGMT30005,MANAGING STRATEGIC CHANGE,12.5,,,,MNO3313X,TOPICS IN MGT & ORG:SEL TOPICS,4,,,
NUS Business School,The University of Melbourne,MGMT20004,HUMAN RESOURCE MANAGEMENT/MANAGING HUMAN RESOURCES,12.5,,,,MNO2302,Human Resource Management,4,,,
NUS Business School,The University of Melbourne,MGMT40001,ADVANCED ORGANISATIONAL BEHAVIOUR,12.5,,,,MNO3313,Topics in Leadership and Human,4,,,
NUS Business School,The University of Melbourne,MKTG20008,STRATEGIC MARKETING,12.5,,,,MKT4411,Marketing Strategy,4,,,
NUS Business School,The University of Melbourne,MGMT30011,SUPPLY CHAIN MANAGEMENT,12.5,,,,DSC3201,Supply Chain Management,4,,,
NUS Business School,The University of Melbourne,MKTG10001,PRINCIPLES OF MARKETING,12.5,,,,MKT1003,Principles of Marketing,4,,,
NUS Business School,The University of Melbourne,FNCE10001,FINANCE 1,12.5,,,,FIN2004,Finance,4,,,
NUS Business School,The University of Melbourne,BLAW30002,TAXATION LAW,12.5,,,,FIN3120X,Topic in Finance,4,,,
NUS Business School,The University of Melbourne,MGMT20001,ORGANISATIONAL BEHAVIOUR,12.5,,,,MNO3301,Organisational Behaviour,4,,,
NUS Business School,The University of Melbourne,MGMT20009,MANAGING EMPLOYEE RELATIONS,12.5,,,,MNO3313Z,TOPICS IN M & O: MANAGEMENT 3,4,,,
NUS Business School,The University of Melbourne,ACCT20004,ACCOUNTING FOR CORPORATE ENTITIES,12.5,,,,ACC2002,Managerial Accounting,4,,,
NUS Business School,The University of Melbourne,FNCE90043,SPECIAL TOPICS IN FINANCE,12.5,,,,FIN3120Y,Topic in Finance,4,,,
NUS Business School,The University of Melbourne,ECON30024,ECONOMICS OF FINANCIAL MARKETS,12.5,,,,FIN3103,Financial Markets,4,,,
NUS Business School,The University of Melbourne,MKTG20007,ENTREPRENEURIAL MARKETING,12.5,,,,TR2201,Entrepreneurial Marketing,4,,,
NUS Business School,The University of New South Wales,STRE3101,INTERNATIONAL BUSINESS STRATEGY,6,,,,BSP3001,Strategic Management,4,,,
NUS Business School,The University of New South Wales,FINS3625,APPLIED CORPORATE FINANCE,6,,,,FIN3101,Corporate Finance,4,,,
NUS Business School,The University of New South Wales,MARK2053,MARKETING COMMUNICATIONS AND PROMOTIONS MANAGEMENT,6,,,,MKT3420,Advertising & Promotion Manage,4,,,
NUS Business School,The University of New South Wales,MGMT1002,MANAGING ORGANISATIONAL BEHAVIOUR,6,,,,MNO3301,Organisational Behaviour,4,,,
NUS Business School,The University of New South Wales,MARK3051,NEW PRODUCT AND NEW SERVICE DEVELOPMENT,6,,,,MKT3422X,TOPICS IN MKTG:SEL TOPICS 1,4,,,
NUS Business School,The University of New South Wales,MGMT2718,HUMAN RESOURCE MANAGEMENT,6,,,,MNO2302,Human Resource Management,4,,,
NUS Business School,The University of New South Wales,MARK1014,CUSTOMER RELATIONSHIP MANAGEMENT,6,,,,MKT3417,Customer Relationship Manageme,4,,,
NUS Business School,The University of New South Wales,FINS1612,CAPITAL MARKETS AND INSTITUTIONS,6,,,,FIN3103,Financial Markets,4,,,
NUS Business School,The University of New South Wales,STRE2010,INNOVATION & ENTREPRENEURSHIP - PRINCIPLES &PRACTICE,6,,,,TR2202,Technological Innovation,4,,,
NUS Business School,The University of New South Wales,MARK3092,BRAND MANAGEMENT,6,,,,MKT3418,Product And Brand Management,4,,,
NUS Business School,The University of New South Wales,MGMT3721,NEGOTIATION SKILLS,6,,,,MNO3313H,TIHMC:Neg'ns & Bargaing,4,,,
NUS Business School,The University of New South Wales,ACTL2003,STOCHASTIC MODELS FOR ACTUARIAL APPLICATIONS,6,,,,DSC3222X,Tp In Ops&Suply Ch Mgt(TIOSCM),4,,,
NUS Business School,The University of New South Wales,INFS2603,BUSINESS SYSTEM ANALYTICS,6,,,,DSC3222Z,Tp In Ops&Suply Ch Mgt(TIOSCM),4,,,
NUS Business School,The University of New South Wales,FINS3616,INTERNATIONAL BUSINESS FINANCE,6,,,,FIN3115,International Financial Mgmt,4,,,
NUS Business School,The University of New South Wales,MGMT3729,MANAGING WORKPLACE TRAINING,6,,,,MNO3321,Training and Development,4,,,
NUS Business School,The University of New South Wales,STRE3001,BUSINESS AND CORPORATE STRATEGY,6,,,,BSP3001,Strategic Management,4,,,
NUS Business School,The University of New South Wales,FINS2624,PORTFOLIO MANAGEMENT,6,,,,FIN3102,Investmt Anlys & Portfolio Mgt,4,,,
NUS Business School,The University of New South Wales,IBUS3101,INTERNATIONAL BUSINESS STRATEGY,6,,,,BSP3001,Strategic Management,4,,,
NUS Business School,The University of New South Wales,MARK3081,DISTRIBUTION STRATEGY & RETAIL CHANNELS,6,,,,DSC3222,Tp In Ops&Suply Ch Mgt(TIOSCM),4,,,
NUS Business School,The University of New South Wales,FINS3630,BANK FINANCIAL MANAGEMENT,6,,,,FIN3117,Bank Management,4,,,
NUS Business School,The University of New South Wales,MGMT3001,MANAGING BUSINESS STRATEGY,6,,,,BSP3001,Strategic Management,4,,,
NUS Business School,The University of New South Wales,MGMT2101,INTERNATIONAL BUSINESS AND MULTINATIONAL OPERATION,6,,,,DSC3222X,Tp In Ops&Suply Ch Mgt(TIOSCM),4,,,
NUS Business School,The University of New South Wales,MGMT1001,FUNDAMENTALS OF MANAGEMENT/MANAGING ORGANISATIONS AND PEOPLE,6,,,,MNO1001,Management And Organisation,4,,,
NUS Business School,The University of New South Wales,STRE2010,INNOVATION & ENTREPRENEURSHIP,6,,,,MNO2009,Entrepreneurship,4,,,
NUS Business School,The University of New South Wales,MARK2151,CONSUMER BEHAVIOUR,6,,,,MKT3402,Consumer Behaviour,4,,,
NUS Business School,The University of New South Wales,FINS1613,BUSINESS FINANCE,6,,,,FIN2004,Finance,4,,,
NUS Business School,The University of New South Wales,MARK2051,CONSUMER BEHAVIOUR,6,,,,MKT3402,Consumer Behaviour,4,,,
NUS Business School,The University of New South Wales,MARK1012,MARKETING FUNDAMENTALS,6,,,,MKT1003,Principles of Marketing,4,,,
NUS Business School,The University of New South Wales,FINS3635,"OPTIONS, FUTURE AND RISK MANAGEMENT",6,,,,FIN3116,Options and Futures,4,,,
NUS Business School,The University of New South Wales,STRE3103,INTERNATIONAL BUSINESS STRATEGY,6,,,,BSP3001,Strategic Management,4,,,
NUS Business School,The University of New South Wales,INFS2685,SUPPORTING BUSINESS OPERATIONS,6,,,,DSC3222Y,Tp In Ops&Suply Ch Mgt(TIOSCM),4,,,
NUS Business School,The University of New South Wales,MARK2071,INTERNATIONAL AND GLOBAL MARKETING,6,,,,MKT2412,Global Marketing,4,,,
NUS Business School,The University of New South Wales,INFS-1602,INFORMATION SYSTEMS IN BUSINESS,6,,,,DSC3213,Strategic Information Systems,4,,,
NUS Business School,The University of New South Wales,MARK2055,SERVICE MARKETING AND MANAGEMENT,6,,,,MKT3412,Services Marketing,4,,,
NUS Business School,The University of New South Wales,FINS2643,WEALTH MANAGEMENT,6,,,,FIN3120,Topics in Finance (TIF),4,,,
NUS Business School,The University of New South Wales,SERV1001,FUNDAMENTALS OF TOURISM,6,,,,MKT3422Z,Topics in Marketing,4,,,
NUS Business School,The University of New South Wales,MARK3091,NEW PRODUCT AND NEW SERVICE DEVELOPMENT,6,,,,MKT3422Z,Topics in Marketing,4,,,
NUS Business School,The University of New South Wales,MARK3081,Distribution Strategy and Retail Channels,6,,,,MKT2411,Retail Management,4,,,
NUS Business School,The University of New South Wales,MGMT3003,Global Entrepreneurship,6,,,,MNO2009,Entrepreneurship,4,,,
NUS Business School,The University of Queensland,FINM3403,INTERNATIONAL FINANCIAL MANAGEMENT,2,,,,FIN3115,International Financial Mgmt,4,,,
NUS Business School,The University of Queensland,ACCT2101,FINANCIAL REPORTING,2,,,,FIN3113,Financial Statement Analysis,4,,,
NUS Business School,The University of Queensland,FINM3404,BANKING AND LENDING DECISIONS,2,,,,FIN3117,Bank Management,4,,,
NUS Business School,The University of Queensland,MKTG2501,CONSUMER BEHAVIOUR,2,,,,MKT3402,Consumer Behaviour,4,,,
NUS Business School,The University of Queensland,MKTG3503,SALES AND ACCOUNT MANAGEMENT,2,,,,MKT3422X,TOPICS IN MKTG:SEL TOPICS 1,4,,,
NUS Business School,The University of Queensland,ORGC1603,FOUNDATIONS OF CORPORATE COMMUNICATION,2,,,,MNO3312,Organisational Communication,4,,,
NUS Business School,The University of Queensland,FINM3405,DERIVATIVES AND RISK MANAGEMENT,2,,,,FIN3116,Options and Futures,4,,,
NUS Business School,The University of Queensland,FINM3402,INVESTMENTS & PORTFOLIO MANAGEMENT,2,,,,FIN3102,Investmt Anlys & Portfolio Mgt,4,,,
NUS Business School,The University of Queensland,MGTS1301,INTRODUCTION TO MANAGEMENT,2,,,,MNO1001,Management And Organisation,4,,,
NUS Business School,The University of Queensland,MKTG2508,PRODUCT AND BRAND MANAGEMENT/BRAND MANAGEMENT AND STRATEGY,2,,,,MKT3418,Product And Brand Management,4,,,
NUS Business School,The University of Queensland,MGTS7707,THE LEADERSHIP CHALLENGE,2,,,,MNO2007,Leadership and Ethics,4,,,
NUS Business School,The University of Queensland,MKTG2505,RETAIL MANAGEMENT/PRODUCT AND SERVICE MANAGEMENT,2,,,,MKT2411,Retail Management,4,,,
NUS Business School,The University of Queensland,ACCT2102,FUNDAMENTALS OF COST ACCOUNTING,2,,,,ACC2002,Managerial Accounting,4,,,
NUS Business School,The University of Queensland,MGTS2604,INTRODUCTION TO HUMAN RESOURCE MANAGEMENT,2,,,,MNO2302,Human Resource Management,4,,,
NUS Business School,The University of Queensland,FINM3401,CORPORATE FINANCE,2,,,,FIN3101,Corporate Finance,4,,,
NUS Business School,The University of Queensland,MGTS1601,ORGANISATIONAL BEHAVIOR,2,,,,MNO3301,Organisational Behaviour,4,,,
NUS Business School,The University of Queensland,FINM2401,FINANCIAL MANAGEMENT,2,,,,FIN2004,Finance,4,,,
NUS Business School,The University of Queensland,ECON2410,ECONOMICS OF BUSINESS STRATEGY,2,,,,BSP3001,Strategic Management,4,,,
NUS Business School,The University of Queensland,MKTG1501,INTRODUCTION TO/FOUNDATIONS OF MARKETING,2,,,,MKT1003,Principles of Marketing,4,,,
NUS Business School,The University of Queensland,MGTS3601,ORGANISATIONAL DESIGN & CHANGE MANAGEMENT,2,,,,MNO3313,Topics in Leadership and Human,4,,,
NUS Business School,The University of Queensland,ECON2020,MACROECONOMIC THEORY,2,,,,BSP2001,Macro & Int'l Economics,4,,,
NUS Business School,The University of Queensland,MGTS7807,OPERATIONS DESIGN,2,,,,DSC2006,Operations Management,4,,,
NUS Business School,The University of Queensland,MGTS2603,LEADING & MANAGING PEOPLE,2,,,,MNO3313X,TOPICS IN MGT & ORG:SEL TOPICS,4,,,
NUS Business School,The University of Sydney,BANK3011,Bank Financial Management,6,,,,FIN3117,Bank Management,4,,,
NUS Business School,The University of Sydney,WORK3202,Leadership in Organisations,6,,,,MNO3313Y,TOPICS IN M & O: SEL TOPICS 3,4,,,
NUS Business School,The University of Sydney,IBUS2101,INTERNATIONAL BUSINESS STRATEGY,6,,,,BSP3001,Strategic Management,4,,,
NUS Business School,The University of Sydney,WORK2205,HUMAN RESOURCE PROCESSES,6,,,,MNO2302,Human Resource Management,4,,,
NUS Business School,The University of Sydney,ACCT3013,FINANCIAL STATEMENTS ANALYSIS,6,,,,FIN3113,Financial Statement Analysis,4,,,
NUS Business School,The University of Sydney,MKTG3120,BUILDING AND MANAGING BRANDS,6,,,,MKT3418,Product And Brand Management,4,,,
NUS Business School,The University of Sydney,WORK2209,ORGANIZATIONAL ANALYSIS & BEHAVIOUR,6,,,,MNO3301,Organisational Behaviour,4,,,
NUS Business School,The University of Sydney,FINC3011,INTERNATIONAL FINANCIAL MANAGEMENT,6,,,,FIN3115,International Financial Mgmt,4,,,
NUS Business School,The University of Sydney,MKTG2112,CONSUMER BEHAVIOUR,6,,,,MKT3402,Consumer Behaviour,4,,,
NUS Business School,The University of Sydney,FINC5001,CAPITAL MARKETS AND CORPORATE FINANCE,6,,,,FIN3101,Corporate Finance,4,,,
NUS Business School,The University of Sydney,IBUS2102,CROSS-CULTURAL MANAGEMENT,6,,,,MNO3313,Topics in Leadership and Human,4,,,
NUS Business School,The University of Sydney,FINC3019,FIXED INCOME SECURITIES,6,,,,FIN3131,Fixed Income Securities,4,,,
NUS Business School,The University of Sydney,ECOS2002,INTERMEDIATE MACROECONOMICS,6,,,,BSP2001,Macro & Int'l Economics,4,,,
NUS Business School,The University of Sydney,FINC2011,CORPORATE FINANCE I,6,,,,FIN2004,Finance,4,,,
NUS Business School,The University of Sydney,WORK2217,INTERNATIONAL HUMAN RESOURCE MANAGEMENT,6,,,,MNO2302,Human Resource Management,4,,,
NUS Business School,The University of Sydney,WORK2222,LEADERSHIP AND ORGANISATIONS,6,,,,MNO3313Y,TOPICS IN M & O: SEL TOPICS 3,4,,,
NUS Business School,The University of Sydney,FINC3014,TRADING AND DEALING IN SECURITY MARKETS,6,,,,FIN3120,Topics in Finance (TIF),4,,,
NUS Business School,The University of Sydney,IBUS3107,BUSINESS NEGOTIATIONS,6,,,,MNO3322,Negotiations and Bargaining,4,,,
NUS Business School,The University of Sydney,FINC2012,CORPORATE FINANCE II,6,,,,FIN3101,Corporate Finance,4,,,
NUS Business School,The University of Sydney,IBUS3103,GLOBAL ENTREPRENEURSHIP AND ENTERPRISE,6,,,,MNO2009,Entrepreneurship,4,,,
NUS Business School,The University of Sydney,FINC3018,BANK FINANCIAL MANAGEMENT,6,,,,FIN3117,Bank Management,4,,,
NUS Business School,The University of Sydney,INFO5060,DATA ANALYTICS AND BUSINESS INTELLIGENCE,6,,,,DSC3222,Tp In Ops&Suply Ch Mgt(TIOSCM),4,,,
NUS Business School,The University of Sydney,IBUS6002,CROSS-CULTURAL MANAGEMENT,6,,,,MNO3313,Topics in Leadership and Human,4,,,
NUS Business School,The University of Sydney,WORK2218,PEOPLE AND ORGANISATIONS,6,,,,MNO3313F,TIMHC:Managing High Perf Teams,4,,,
NUS Business School,The University of Sydney,FINC6023,FINANCIAL RISK MANAGEMENT,6,,,,FIN3118,Financial Risk Management,4,,,
NUS Business School,The University of Sydney,ECON1002,Introductory Macroeconomics,6,,,,BSP2001,Macro & Int'l Economics,4,,,
NUS Business School,The University of Sydney,MKTG1001,MARKETING PRINCIPLES,6,,,,MKT1003,Principles of Marketing,4,,,
NUS Business School,The Australian National University,MGMT1003,"MANAGEMENT, PEOPLE AND ORGANISATIONS",6,,,,MNO1001,Management And Organisation,4,,,
NUS Business School,The Australian National University,FINM1001,MONEY MARKET AND FINANCE,6,,,,FIN2004,Finance,4,,,
NUS Business School,The Australian National University,MGMT2023,HUMAN RESOURCE MANAGEMENT & STRATEGY,6,,,,MNO2302,Human Resource Management,4,,,
NUS Business School,The Australian National University,MGMT3016,BUSINESS ETHICS,6,,,,MNO2007,Leadership and Ethics,4,,,
NUS Business School,The Australian National University,BUSN2011,MANAGEMENT ACCOUNTING,6,,,,ACC2002,Managerial Accounting,4,,,
NUS Business School,The Australian National University,FINM2002,FINANCIAL INSTRUMENTS AND RISK MANAGEMENT,6,,,,FIN3116,Options and Futures,4,,,
NUS Business School,The Australian National University,MGMT2035,MANAGING ORGANISATIONAL CHANGE,6,,,,MNO3313,Topics in Leadership and Human,4,,,
NUS Business School,The Australian National University,FINM2001,CORPORATE FINANCE,6,,,,FIN3101,Corporate Finance,4,,,
NUS Business School,The Australian National University,BUSN1001,BUSINESS REPORTING AND ANALYSIS,6,,,,ACC1002,Financial Accounting,4,,,
NUS Business School,The Australian National University,MGMT3015,CORPORATE STRATEGY,6,,,,BSP3001,Strategic Management,4,,,
NUS Business School,The Australian National University,MKTG2002,SUSTAINABLE MARKETING,6,,,,MKT3422Y,TOPICS IN MKTG:SEL TOPICS 2,4,,,
NUS Business School,The Australian National University,MKTG2031,CONSUMER BEHAVIOUR,6,,,,MKT3402,Consumer Behaviour,4,,,
NUS Business School,The Australian National University,BUSI3020,INTERNATIONAL STRATEGIC MANAGEMENT,6,,,,BSP4512,Global Strategic Management,4,,,
NUS Business School,The Australian National University,ECON1102,MACROECONOMICS 1,6,,,,BSP2001,Macro & Int'l Economics,4,,,
NUS Business School,The Australian National University,MKTG2033,ADVERTISING,6,,,,MKT3420,Advertising & Promotion Manage,4,,,
NUS Business School,The Australian National University,MKTG3024,SOCIAL MARKETING,6,,,,MKT3422X,TOPICS IN MKTG:SEL TOPICS 1,4,,,
NUS Business School,The Australian National University,MKTG3023,STRATEGIC MARKETING,6,,,,MKT2401,Asian Markets & Marketing Mgmt,4,,,
NUS Business School,The Australian National University,BUSI3024,INTERNATIONAL MARKETING,6,,,,MKT2412,Global Marketing,4,,,
NUS Business School,The Australian National University,MKTG2004,MARKETING,6,,,,MKT1003,Principles of Marketing,4,,,
NUS Business School,The University of Western Australia,FINA2222,CORPORATE FINANCIAL POLICY,6,,,,FIN3101,Corporate Finance,4,,,
NUS Business School,The University of Western Australia,ACCT1101,FINANCIAL ACCOUNTING,6,,,,ACC1002,Financial Accounting,4,,,
NUS Business School,The University of Western Australia,MKTG3306,STRATEGIC MARKETING,6,,,,MKT4411,Marketing Strategy,4,,,
NUS Business School,The University of Western Australia,MKTG3307,CONTEMPORARY MARKETING ISSUES,6,,,,MKT3422X,TOPICS IN MKTG:SEL TOPICS 1,4,,,
NUS Business School,The University of Western Australia,MGMT1136,MANAGEMENT AND ORGANIZATIONS,6,,,,MNO1001,Management And Organisation,4,,,
NUS Business School,The University of Western Australia,HRMT2237,HUMAN RESOURCE MANAGEMENT,6,,,,MNO2302,Human Resource Management,4,,,
NUS Business School,The University of Western Australia,FINA2204,DERIVATIVE PRODUCTS AND MARKETS,6,,,,FIN3116,Options and Futures,4,,,
NUS Business School,The University of Western Australia,FINA3324,INVESTMENT ANALYSIS,6,,,,FIN3120,Topics in Finance (TIF),4,,,
NUS Business School,The University of Western Australia,MKTG1204,CONSUMER BEHAVIOUR,6,,,,MKT3402,Consumer Behaviour,4,,,
NUS Business School,The University of Western Australia,MKTG2204,CONSUMER BEHAVIOUR,6,,,,MKT3402,Consumer Behaviour,4,,,
NUS Business School,The University of Western Australia,IREL2208,MANAGING DIVERSITY,6,,,,MNO3311,Managing Diversity In S.E.Asia,4,,,
NUS Business School,The University of Western Australia,ECON3350,"MONEY, BANKING AND FINANCIAL MARKETS",6,,,,FIN3103,Financial Markets,4,,,
NUS Business School,University of Innsbruck,MODULE434458,International Management 2,7.5,,,,FIN3120,Topics in Finance (TIF),4,,,
NUS Business School,University of Innsbruck,LECTURE434457,International Management,4,SEM434458(2017S),PS International Management: International Finance,3.5,FIN3120,Topics in Finance (TIF),4,,,
NUS Business School,Vienna University of Economics and Business Admin,BIZ-DO-ZXY1010,MANAGEMENT ACCOUNTING,6,,,,ACC2002,Managerial Accounting,4,,,
NUS Business School,Vienna University of Economics and Business Admin,PUI0812,Marketing Research,6,,,,MKT3422X,TOPICS IN MKTG:SEL TOPICS 1,4,,,
NUS Business School,Vienna University of Economics and Business Admin,BIZ-DO-ZXY1053,INTERNATIONAL BUSINESS POLICY AND STRATEGY,6,,,,BSP3001,Strategic Management,4,,,
NUS Business School,Vienna University of Economics and Business Admin,BIZ-DO-ZXY1018,INTERNATIONAL MACROECONOMICS,4,,,,BSP2001,Macro & Int'l Economics,4,,,
NUS Business School,Vienna University of Economics and Business Admin,BIZ-DO-ZXY1021,INTERNATIONAL HUMAN RESOURCE MANAGEMENT AND ORGANIZATIONAL BEHAVIOR I,6,,,,MNO2302,Human Resource Management,4,,,
NUS Business School,Vienna University of Economics and Business Admin,BIZ-DO-ZXY1022,INTERNATIONAL FINANCIAL MANAGEMENT,6,,,,FIN3115,International Financial Mgmt,4,,,
NUS Business School,Vienna University of Economics and Business Admin,BIZ-DO-ZXY1024,RISK MANAGEMENT AND INSURANCE,6,,,,FIN3119,Risk and Insurance,4,,,
NUS Business School,Vienna University of Economics and Business Admin,BIZ-DO-ZXY1074,NEGOTIATION MANAGEMENT,6,,,,MNO3322,Negotiations and Bargaining,4,,,
NUS Business School,Vienna University of Economics and Business Admin,BIZ-DO-ZXY1077,SELECTED TOPICS IN GENDER STUDIES,6,,,,MNO3313,Topics in Leadership and Human,4,,,
NUS Business School,Vienna University of Economics and Business Admin,BIZ-DO-ZXY1078,CORPORATE FINANCE,6,,,,FIN3101,Corporate Finance,4,,,
